Woche,Geschäftsnr,Betreff,Ergebnis,Konfidenz,PDF
16.09.2026,UE250167,Einstellung Beschwerde gegen die Einstellungsverfügung der Staatsanwaltschaft Zü,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/UE250167-O2.pdf
16.09.2026,NG260001,Kündigungsschutz / Anfechtung Berufung gegen ein Urteil des Mietgerichtes Zürich,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/NG260001-O3.pdf
16.09.2026,PS250307,Beschwerde (Beschwerde über das Betreibungsamt Winterthur-Stadt) Beschwerde gege,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/PS250307-O1.pdf
16.09.2026,PS250317,Beschwerde (Beschwerde über das Betreibungsamt Winterthur-Stadt) Beschwerde gege,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/PS250317-O1.pdf
16.09.2026,SB240476,versuchte Vergewaltigung etc. und Widerruf Berufung gegen ein Urteil des Bezirks,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB240476-O1.pdf
16.09.2026,SB250062,"Vergewaltigung etc. Berufung gegen ein Urteil des Bezirksgerichtes Meilen, Abtei",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250062-O1.pdf
16.09.2026,SB250170,qualifizierte Widerhandlung gegen das Betäubungsmittelgesetz und Widerruf Berufu,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250170-O1.pdf
16.09.2026,SB250078,qualifizierte Widerhandlung gegen das Betäubungsmittelgesetz etc. Berufung gegen,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250078-O1.pdf
16.09.2026,AH250049,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/AH250049-L2.pdf
16.09.2026,GG250113,Widerhandlung gegen das BetmG,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/GG250113-L1.pdf
16.09.2026,EE250017,Eheschutz,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/EE250017-M1.pdf
16.09.2026,DG250024,"mehrfache sexuelle Handlungen mit Kindern, mehrfache sexuelle Nötigung etc Priva",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/DG250024-M3.pdf
16.09.2026,DG240112,Widerhandlung gegen das Betäubungsmittelgesetz etc.,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/DG240112-L1.pdf
16.09.2026,DG230138,"versuchte schwere Körperverletzung etc. und Widerruf Privatkläger 1. B._____, 2.",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/DG230138-L9.pdf
09.09.2026,LF250095,Mitwirkung der Behörde bei der Teilung nach Art. 609 ZGB im Nachlass von B._____,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/LF250095-O5.pdf
09.09.2026,AN240031,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/AN240031-L18.pdf
09.09.2026,PS260193,Konkurseröffnung Beschwerde gegen ein Urteil des Konkursgerichtes des Bezirksger,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/PS260193-O2.pdf
09.09.2026,PP250030,Anfechtung Beschluss Eigentümerversammlung und Eigentumsfreiheitsklage Beschwerd,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/PP250030-O6.pdf
09.09.2026,UE260186,Einstellung Beschwerde gegen die Einstellungsverfügung der Jugendanwaltschaft Un,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/UE260186-O2.pdf
09.09.2026,LF260036,Organisationsmangel Berufung gegen ein Urteil des Einzelgerichtes im summarische,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/LF260036-O2.pdf
09.09.2026,RA250015,arbeisrechtliche Forderung (Entzug unentgeltliche Rechtspflege),,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/RA250015-O1.pdf
09.09.2026,UE250244,Einstellung Beschwerde gegen die Einstellungsverfügungen der Staatsanwaltschaft ,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/UE250244-O3.pdf
09.09.2026,SB250357,versuchte schwere Körperverletzung etc. (Rückweisung des Schweizerischen Bundesg,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250357-O1.pdf
09.09.2026,FK220034,"Obhut, persönlicher Verkehr, Unterhalt",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FK220034-C9.pdf
09.09.2026,SM250006,Verlängerung stationäre Massnahme (Nachverfahren) Berufung gegen ein Urteil des ,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SM250006-O1.pdf
09.09.2026,LE250010,Eheschutz Berufungen gegen ein Urteil des Einzelgerichts im summarischen Verfahr,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/LE250010-O6.pdf
09.09.2026,AN200012,arbeitsrechtliche Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/AN200012-C9.pdf
09.09.2026,SB240547,versuchte schwere Körperverletzung etc. und Widerruf Berufung gegen ein Urteil d,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB240547-O1.pdf
09.09.2026,SB240491,einfache Körperverletzung etc. Berufung gegen ein Urteil des Bezirksgerichtes Zü,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB240491-O1.pdf
09.09.2026,SB250370,mehrfache Nötigung etc. und Widerruf Berufung gegen ein Urteil des Bezirksgerich,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250370-O1.pdf
09.09.2026,SB250104,"Pornografie Berufung gegen ein Urteil des Bezirksgerichtes Bülach, Einzelgericht",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250104-O1.pdf
09.09.2026,EE250048,Eheschutz,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/EE250048-G7.pdf
09.09.2026,CG230040,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/CG230040-L14.pdf
09.09.2026,FK240067,Kinderunterhalt,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FK240067-L1.pdf
02.09.2026,PS260264,Konkurseröffnung Beschwerde gegen ein Urteil des Einzelgerichtes in Konkurssache,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/PS260264-O2.pdf
02.09.2026,BQ260003,Feststellung der Nachzahlungspflicht,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/BQ260003-L2.pdf
02.09.2026,SM250010,Verlängerung der Probezeit nach Art. 62 StGB (Nachverfahren) Berufung gegen ein ,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SM250010-O1.pdf
02.09.2026,LY250043,Ehescheidung / vorsorgliche Massnahmen,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/LY250043-O3.pdf
02.09.2026,UE250166,Einstellung Beschwerde gegen die Einstellungsverfügung der Staatsanwaltschaft Zü,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/UE250166-O2.pdf
02.09.2026,FE240280,Ehescheidung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FE240280-L7.pdf
02.09.2026,LC260007,Ehescheidung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/LC260007-O1.pdf
